ids,desc_lang
1,nl
2,en
3,ro
4,en
5,fr
6,fr
7,de
8,en
9,sv
10,fi
11,sv
12,en
13,hu
14,sv
15,pl
16,lt
17,sk
18,cs
19,en
20,fr
21,ro
22,nl
23,lt
24,lt
25,sv
26,nl
27,fr
28,sk
29,sl
30,nl
31,es
32,cs
33,da
34,de
35,it
36,pl
37,bg
38,it
39,es
40,es
41,de
42,it
43,fr
44,bg
45,it
46,de
47,bg
48,el
49,en
50,en
51,lv
52,hu
53,nl
54,es
55,nl
56,ru
57,sk
58,ca
59,nl
60,es
61,pl
62,es
63,bg
64,it
65,fr
66,de
67,nl
68,sv
69,lv
70,nl
71,en
72,nl
73,es
74,el
75,nl
76,es
77,es
78,en
79,bg
80,es
81,es
82,hu
83,it
84,es
85,de
86,ro
87,sv
88,en
89,en
90,de
91,fr
92,it
93,fr
94,hr
95,de
96,lv
97,es
98,fr
99,fr
100,en
101,it
102,et
103,nl
104,nl
105,nl
106,es
107,de
108,fr
109,fi
110,de
111,en
112,en
113,fr
114,el
115,nl
116,fr
117,de
118,it
119,it
120,sk
121,it
122,sl
123,pt
124,sv
125,en
126,de
127,pt
128,cs
129,nl
130,it
131,nl
132,bg
133,es
134,de
135,it
136,nl
137,bg
138,en
139,es
140,nl
141,es
142,lv
143,lv
144,pt
145,en
146,bg
147,it
148,lt
149,lv
150,nl
151,hu
152,nl
153,nl
154,en
155,nl
156,sl
157,sk
158,es
159,de
160,nl
161,cs
162,et
163,en
164,sv
165,sk
166,es
167,en
168,fi
169,da
170,pt
171,de
172,hr
173,et
174,pl
175,cs
176,pl
177,et
178,pt
179,de
180,de
181,pt
182,it
183,nl
184,it
185,es
186,lv
187,de
188,it
189,lt
190,fi
191,fr
192,en
193,de
194,de
195,it
196,it
197,cs
198,fr
199,es
200,en
201,bg
202,sk
203,it
204,de
205,ro
206,it
207,lv
208,en
209,lv
210,it
211,en
212,sv
213,en
214,hr
215,de
216,bg
217,bg
218,de
219,ro
220,en
221,nl
222,en
223,de
224,de
225,cs
226,fr
227,fr
228,et
229,lt
230,it
231,es
232,sk
233,de
234,it
235,bg
236,lt
237,it
238,en
239,en
240,bg
241,nl
242,de
243,it
244,de
245,nl
246,de
247,nl
248,en
249,de
250,sk
251,lt
252,lv
253,nl
254,de
255,et
256,de
257,bg
258,it
259,nl
260,sk
261,nl
262,nl
263,fr
264,da
265,nl
266,nl
267,fr
268,da
269,it
270,en
271,sk
272,it
273,et
274,de
275,es
276,en
277,ro
278,et
279,it
280,fr
281,fr
282,sk
283,nl
284,ro
285,cs
286,pt
287,en
288,nl
289,nl
290,fr
291,lv
292,nl
293,it
294,sk
295,da
296,de
297,bg
298,nl
299,bg
300,en
301,es
302,nl
303,de
304,sv
305,en
306,sv
307,ro
308,bg
309,fr
310,en
311,hu
312,el
313,fr
314,sk
315,fr
316,hu
317,fr
318,en
319,it
320,en
321,da
322,fi
323,et
324,sv
325,en
326,hu
327,en
328,et
329,fr
330,de
331,lt
332,en
333,it
334,fr
335,it
336,bg
337,en
338,et
339,pl
340,bg
341,en
342,en
343,hu
344,nl
345,ro
346,et
347,en
348,lv
349,en
350,nl
351,pt
352,nl
353,fr
354,pt
355,pl
356,lt
357,sv
358,hu
359,de
360,da
361,en
362,ro
363,hu
364,fr
365,fr
366,de
367,hu
368,nl
369,it
370,sk
371,lt
372,de
373,fr
374,it
375,nl
376,el
377,es
378,en
379,cs
380,en
381,ca
382,de
383,en
384,lv
385,pt
386,es
387,sk
388,ro
389,it
390,fr
391,de
392,sv
393,es
394,da
395,lv
396,de
397,lv
398,de
399,hu
400,en
401,nl
402,pl
403,nl
404,it
405,et
406,sk
407,fr
408,nl
409,nl
410,sv
411,el
412,en
413,de
414,hu
415,it
416,nl
417,de
418,pl
419,it
420,de
421,nl
422,pl
423,nl
424,es
425,de
426,nl
427,sk
428,en
429,fr
430,es
431,it
432,it
433,it
434,nl
435,pl
436,it
437,en
438,pt
439,de
440,fr
441,lt
442,hr
443,sl
444,pl
445,cs
446,cs
447,ro
448,cs
449,et
450,es
451,nl
452,pt
